Date,Mean_Gauge,Discharge (cumecs),filename
01/08/12,5.14,1830,Inundation Boundary (01AUG2012 00 00 00 Value_0).tif
02/08/12,5,1490,Inundation Boundary (02AUG2012 00 00 00 Value_0).tif
03/08/12,4.6,1174,Inundation Boundary (03AUG2012 00 00 00 Value_0).tif
04/08/12,4.29,827,Inundation Boundary (04AUG2012 00 00 00 Value_0).tif
05/08/12,3.77,649.778,Inundation Boundary (05AUG2012 00 00 00 Value_0).tif
06/08/12,3.6,8941.191,Inundation Boundary (06AUG2012 00 00 00 Value_0).tif
07/08/12,10.46,16972.875,Inundation Boundary (07AUG2012 00 00 00 Value_0).tif
08/08/12,13.55,9525.863,Inundation Boundary (08AUG2012 00 00 00 Value_0).tif
09/08/12,9.91,4247.221,Inundation Boundary (09AUG2012 00 00 00 Value_0).tif
10/08/12,6.925,1910.122,Inundation Boundary (10AUG2012 00 00 00 Value_0).tif
11/08/12,5.15,4430,Inundation Boundary (11AUG2012 00 00 00 Value_0).tif
12/08/12,7.27,9407.66,Inundation Boundary (12AUG2012 00 00 00 Value_0).tif
13/08/12,10.16,5105.612,Inundation Boundary (13AUG2012 00 00 00 Value_0).tif
14/08/12,7.79,4470,Inundation Boundary (14AUG2012 00 00 00 Value_0).tif
15/08/12,7.38,3255.347,Inundation Boundary (15AUG2012 00 00 00 Value_0).tif
16/08/12,6.35,2301,Inundation Boundary (16AUG2012 00 00 00 Value_0).tif
17/08/12,5.5,2048,Inundation Boundary (17AUG2012 00 00 00 Value_0).tif
18/08/12,5.23,2730,Inundation Boundary (18AUG2012 00 00 00 Value_0).tif
19/08/12,5.75,1669.055,Inundation Boundary (19AUG2012 00 00 00 Value_0).tif
20/08/12,4.9,1504.191,Inundation Boundary (20AUG2012 00 00 00 Value_0).tif
21/08/12,4.72,5837.324,Inundation Boundary (21AUG2012 00 00 00 Value_0).tif
22/08/12,8.16,8149.416,Inundation Boundary (22AUG2012 00 00 00 Value_0).tif
23/08/12,9.5,3350,Inundation Boundary (23AUG2012 00 00 00 Value_0).tif
24/08/12,6.49,2900,Inundation Boundary (24AUG2012 00 00 00 Value_0).tif
25/08/12,5.92,3750,Inundation Boundary (25AUG2012 00 00 00 Value_0).tif
26/08/12,6.84,2228.187,Inundation Boundary (26AUG2012 00 00 00 Value_0).tif
27/08/12,5.46,1769,Inundation Boundary (27AUG2012 00 00 00 Value_0).tif
28/08/12,4.92,2602,Inundation Boundary (28AUG2012 00 00 00 Value_0).tif
29/08/12,5.9,1810,Inundation Boundary (29AUG2012 00 00 00 Value_0).tif
30/08/12,4.95,2360,Inundation Boundary (30AUG2012 00 00 00 Value_0).tif
31/08/12,5.5,2300,Inundation Boundary (31AUG2012 00 00 00 Value_0).tif
