Date,Mean_Gauge,Discharge (cumecs),filename
2012-06-09,2.13,40.774,Inundation Boundary (09JUN2012 00 00 00 Value_0).tif
2006-06-27,2.15,78.93,Inundation Boundary (27JUN2006 00 00 00 Value_0).tif
2007-06-16,2.19,67.839,Inundation Boundary (16JUN2007 00 00 00 Value_0).tif
2006-07-02,2.2,79.49,Inundation Boundary (02JUL2006 00 00 00 Value_0).tif
2012-06-14,2.21,63.258,Inundation Boundary (14JUN2012 00 00 00 Value_0).tif
2012-06-04,2.22,43.219,Inundation Boundary (04JUN2012 00 00 00 Value_0).tif
2001-06-06,2.26,90.45,Inundation Boundary (06JUN2001 00 00 00 Value_0).tif
2009-07-02,2.26,53.244,Inundation Boundary (02JUL2009 00 00 00 Value_0).tif
2001-06-01,2.27,77.46,Inundation Boundary (01JUN2001 00 00 00 Value_0).tif
2011-06-12,2.28,0.0,Inundation Boundary (12JUN2011 00 00 00 Value_0).tif
2012-06-19,2.28,88.932,Inundation Boundary (19JUN2012 00 00 00 Value_0).tif
2002-06-09,2.3,120.0,Inundation Boundary (09JUN2002 00 00 00 Value_0).tif
2004-06-10,2.3,68.74,Inundation Boundary (10JUN2004 00 00 00 Value_0).tif
2006-06-22,2.31,96.65,Inundation Boundary (22JUN2006 00 00 00 Value_0).tif
2008-06-02,2.31,99.123,Inundation Boundary (02JUN2008 00 00 00 Value_0).tif
2012-07-09,2.31,85.645,Inundation Boundary (09JUL2012 00 00 00 Value_0).tif
2006-07-17,2.31,99.66,Inundation Boundary (17JUL2006 00 00 00 Value_0).tif
2012-06-24,2.31,110.074,Inundation Boundary (24JUN2012 00 00 00 Value_0).tif
2007-06-11,2.32,71.338,Inundation Boundary (11JUN2007 00 00 00 Value_0).tif
2006-06-02,2.33,108.9,Inundation Boundary (02JUN2006 00 00 00 Value_0).tif
2005-06-14,2.33,110.113,Inundation Boundary (14JUN2005 00 00 00 Value_0).tif
2004-06-15,2.33,85.39,Inundation Boundary (15JUN2004 00 00 00 Value_0).tif
2004-06-05,2.35,78.87,Inundation Boundary (05JUN2004 00 00 00 Value_0).tif
2012-06-29,2.35,90.021,Inundation Boundary (29JUN2012 00 00 00 Value_0).tif
2005-06-23,2.355,75.07,Inundation Boundary (23JUN2005 00 00 00 Value_0).tif
2009-06-27,2.36,131.476,Inundation Boundary (27JUN2009 00 00 00 Value_0).tif
2002-06-24,2.36,213.0,Inundation Boundary (24JUN2002 00 00 00 Value_0).tif
2011-06-17,2.36,98.49,Inundation Boundary (17JUN2011 00 00 00 Value_0).tif
2005-06-09,2.37,97.938,Inundation Boundary (09JUN2005 00 00 00 Value_0).tif
2002-07-04,2.38,132.2,Inundation Boundary (04JUL2002 00 00 00 Value_0).tif
2002-06-04,2.38,171.8,Inundation Boundary (04JUN2002 00 00 00 Value_0).tif
